name,artist,cluster
This Magic Moment - Crisp.nl Version,MassiveMusic,1
00h00,Hoosky,9
Under My Thumb,The Rolling Stones,6
Conquer Me,Jane B,8
Dapper (feat. Anderson .Paak),Domo Genesis,9
Water Fountain,Tune-Yards,1
Sun Is Shining,Bob Marley & The Wailers,3
Ride A White Swan,T. Rex,2
Whatcha See Is Whatcha Get,The Dramatics,8
In Love With You,Erykah Badu,2
Sunday Girl,Blondie,6
Two Weeks,Grizzly Bear,8
Somebody to Love Me,Mark Ronson,1
AH LA LA,Edgar de l'Est,3
Gimme Shelter,Merry Clayton,9
Sam,Tim Knol,5
Intro / Stronger Than Me,Amy Winehouse,6
I'm a Steady Rollin' Man,Robert Johnson,5
I Think We're Alone Now,Darlyn,5
El Muro,Eskorzo Afrobeat Experience,0
Rudeboy Shufflin,Israel Vibration,6
Big In Japan,Britta Persson,4
This Sky,The Derek Trucks Band,4
Water No Get Enemy,D'Angelo,0
A Deusa Dos Orixás,Clara Nunes,6
Jackson (with June Carter Cash),Johnny Cash,1
Ghostwriter,RJD2,10
Body Music,AlunaGeorge,4
Yesterday Was Hard On All Of Us - Radio Edit,Fink,4
Carry,Ryan Montbleau,5
Intentions,The Whitest Boy Alive,6
Can't Stop Now,Major Lazer,1
Autumn Sun,Emilíana Torrini,5
Ooo Baby Baby,Smokey Robinson & The Miracles,7
Come and Get It,Beans & Fatback,1
Carmensita,Devendra Banhart,2
Such a Night,Dr. John,2
Nothing To Worry About,Peter Bjorn and John,1
Thieves In The Night,Hot Chip,4
Finally Moving,Pretty Lights,10
Folsom Prison Blues,Johnny Cash,9
Plastic Soul,YACHT,4
Wait For Me,Susan Tedeschi,9
I Get High On You,Sly Stone,9
Roundabout Town,Fabiana Dammers,8
My Baby Just Cares for Me,Nina Simone,5
Hot In Herre,Jenny Owen Youngs,2
Goodnight Moon,Shivaree,1
20:20 Vision - Remastered 2011,Rory Gallagher,2
Shotgun,Eugene McGuinness,1
Estan Llamando,Chico Mann,10
Hands To Hold - Original Mix,Bob Moses,0
Electric,Go Back To The Zoo,1
Man Named Truth,Monsters Of Folk,9
Funky Chick,Lefties Soul Connection,8
Wish You Were Here,Wyclef Jean,6
Stay Useless,Cloud Nothings,8
Hit the Waves,The Mary Onettes,1
Our Day Will Come,Amy Winehouse,1
One Past - OBF Remix,Chinese Man,10
Take It Slow (Ferro+Chrome Mix),Joggo,8
Afrodiziak,Bran Van 3000,1
Youth Dem Cold,Richie Spice,3
Saudade,Chinese Man,4
Let's Stay Together,Al Green,5
Lulu Eiland,Kern Koppen,9
Nelson Mandela - 2002 Remastered Version,The Specials,1
Habadabariwikidi (The Lovehopper),Urban Heroes,8
Diamond Head,The Treble Spankers,8
Run Sister Run,Cass McCombs,3
Too Young For Me,Jimi Jules,10
Faeded - Dub,Prace,10
One Man Parade,James Taylor,2
Watch Me Dance,Tom Misch,5
Efils' God,Eels,10
Shout Out Loud,Amos Lee,4
Beautiful Strangers,Kevin Morby,2
Rude Boys Outa Jail,The Specials,8
Red Eyes,The War On Drugs,8
Unified,G. Love & Special Sauce,1
Nuthin But Love,Jim Morey,2
C.L.U.B.,MNDR,1
Crazy Sufferin Style,Selah Sue,8
Feel Good,Robin Thicke,4
Cooler Couleur (feat. Yelle),Crookers,1
Vondt i hjertet,Razika,8
Piece of the Rock,Mother's Finest,1
Remember You (feat. The Weeknd),Wiz Khalifa,3
So Bad,Toots & The Maytals,6
Summer Breezin',3 Balearos,10
Starz In Their Eyes,Just Jack,9
What Kind of Cool (Will We Think of Next),Cody Chesnutt,1
Não Me Deixe Só,Vanessa Da Mata,6
Il est tout pour moi,Françoise Hardy,2
Alors On Danse - Radio Edit,Stromae,6
I Don't Feel Like Dancin',Scissor Sisters,1
Fussball,The Orb,9
The Hearse,Wampire,10
Buena,Morphine,4
D.H.E.A.,Amp Live,9
Johnny Reggae,The Piglets,3
Way It Goes,Current Swell,2
Racing With the Sun - Deluxe Remix,Chinese Man,6
Goodnight Irene,Ry Cooder,9
Wait a Minute - Extended,Osborne,0
You'll Always Find Me In The Kitchen At Parties,Jona Lewie,2
Summerbreeze,Johnossi,5
Airplanes,Local Natives,8
Island - 2007 Remaster,Ben Taylor,5
Hasta Siempre,Carlos Puebla,2
I Wanna Be Your Telephone,Jamie Lidell,1
Grazing In the Grass,The Friends Of Distinction,1
The Whole Of The Moon,The Waterboys,9
Coeur À Coeur,The Jouby's,3
Jayou,Jurassic 5,6
1 Thing,Ane Brun,5
Grandma's Hands,Bill Withers,2
Police In Helicopter,John Holt,8
Roll the Dice,The Calimocho Club,1
Coming Through,Willis Earl Beal feat. Cat Power,6
"You, Me and the Bourgeoisie - (Album Version)",The Submarines,1
"Hot Kisses, Cold Tiles",Fergus Brown,8
Crime,Mayer Hawthorne,4
New World Airlines,DAB,6
Independence Day,Elliott Smith,4
Cecil Taylor,Jonathan Wilson,5
Angel Of The Morning - Original,Joya Landis,8
You Know I'm No Good,Amy Winehouse,1
C'est La Vie (You Never Can Tell),Pulp No Pulp,8
Down On The Corner,Creedence Clearwater Revival,6
Son's Gonna Rise,Citizen Cope,1
Living for the City,Pat Rhoden,6
Ayoba feat. Spoek & Gnucci Banana,Schlachthofbronx,6
"Shame, Shame, Shame",Jimmy Reed,2
Fresh Feeling,Eels,1
Big Iron,Marty Robbins,2
Story Book Children,Gregory Isaacs,6
trust (hell below),Inc.,10
New York,Angel Haze,3
I Wish,Stevie Wonder,6
"Don't Think Twice, It's All Right",Odetta,5
A Girl Called Johnny - 2002 Remastered Version,The Waterboys,1
Put it On,Bob Marley & The Wailers,2
Move,Little Mix,9
Unchained Melody,Al Green,7
Who Loves The Sun,The Velvet Underground,9
Give It Away,Red Hot Chili Peppers,1
The Vagabond,Air,4
Little Bit of Feel Good - Snr. Coconut Mix,Jamie Lidell,1
Sweet About Me - Radio Edit,Gabriella Cilmi,1
Caçada,Chico Buarque,2
Slow Down,Twiceyoung,5
Night By Night,Chromeo,1
Tiger Rag,Swing Republic,6
People,The Superimposers,1
Funny How Time Slips Away,Al Green,7
Amidinine,Bombino,1
Dark Waltz,The Men,8
One String Play,Brushy One String,1
Little Man,Little Dragon,3
Pretty Babies,Karen Elson,1
Baby Loves Me,Eels,8
Be OK,Ingrid Michaelson,1
Bang Bang Bang (feat. MNDR),Mark Ronson,1
I'm Selfish,Jamie Lidell,1
Foolin',Devendra Banhart,8
Mr. Dickhead,Palio SuperSpeed Donkey,8
Shoot the Runner,Kasabian,8
Hold Me Tight,Johnny Nash,2
#TWEET - Original Mix,Feral Is Kinky,1
Our Racing Hearts,Baskerville,1
Wanderlust,The Weeknd,4
Drunk Girls,LCD Soundsystem,1
Type Normal,Saule,1
"Inhale, Exhale",J Rawls featuring Venus Malone & Wordsworth,3
Walking in Your Footsteps (Lissvik Remix),Shout Out Louds,1
Overloaded,DJ Vadim,3
Sunrise,Yeasayer,1
"Roots, Rock, Reggae",Bob Marley & The Wailers,1
(Don't Fear) The Reaper - Single Version,Blue Öyster Cult,8
I Shot The Sheriff,Eric Clapton,6
The Drop,The Nextmen,1
Have Love Will Travel,The Sonics,8
Fyah Fyah,Selah Sue,3
Il n'est jamais trop tard,Cheikh Lô,2
Fever To The Form,Nick Mulvey,4
Marsbar,We Cook With Fire,4
Around And Around,Red House Painters,5
Purple Rose,Kalabrese,0
Down at the Sea Hotel,Guy Davis,7
Just Because,Body Language,9
Seasun,Delorean,4
Rocket Ship,San Cisco,8
That Loneliness,Jagwar Ma,1
Listen To The Ocean (Escuchando El Oceano),Nina & Frederik,5
Domino,Van Morrison,1
Racing With The Sun,Ella Jenkins,5
Berliner Birds (feat. Steven Craenmehr),Perneau,1
If You Could Read My Mind,Gordon Lightfoot,5
Here Now,Sean Bones,1
Love Me Or Leave Me,Gregory Isaacs,3
Weltareh - Vocal Mix,Freeform Five,0
Back to Where I'm From,Joshua Radin,8
Do Yourself A Faver,Jamie Lidell,1
Days Like These,The Cat Empire,1
New Fabled Stories,Giorgio Tuma,2
Riverbed,Morcheeba,10
Le vent nous portera,Noir Désir,2
Hey You!,THESHINING,1
Singin' In Chains,MY BABY,7
Mama Told Me Not to Come,Randy Newman,2
Invisible Empire,KT Tunstall,5
Giving It All,Bondax,1
Flashed Junk Mind,Milky Chance,1
Say That,Toro y Moi,4
Black Part Love,Selah Sue,1
Jealous Guy - Studio Version,Donny Hathaway,9
How to Fight Loneliness,Wilco,5
Lights & Music,Cut Copy,9
Coming Up - Remastered 2011,Paul McCartney,1
Don't Mess With My Man,Lucy Pearl,1
Ghetto Pop Life,Jemini,9
What Doesn't Kill You,Jake Bugg,1
Love Vibration,Joe Simon,6
Watching You,Ayọ,5
Save Room,John Legend,4
Innercity Lady (Upgrade Mix),Gregory Isaacs,6
Herbalist (feat. Top Cat),Mungo's Hi Fi,3
She's So Cold,The Rolling Stones,6
Send Me On My Way,Rusted Root,1
Bang A Gong (Get It On) (Electric Boogie Mix),T. Rex,0
Ghost Town,The Specials,1
December Wine,David Philips,2
Nigeria What?,Debruit,10
Help Is Coming,Ayọ,3
Eyes Like Blue Skies (feat. Need Not Worry),SoulChef,1
Lingering Still,She & Him,1
Grown Up,Danny Brown,3
"Moonglow, Lamp Low",Eleni Mandell,7
Your Girl,Kakkmaddafakka,1
Ndiri Ndanogio Niwe,Mbiri Young Stars,6
Dinosaur Zappa,Paqua,7
Paper Planes,M.I.A.,9
Locked in Closets,Solange,6
Heart Attack and Vine,Screamin' Jay Hawkins,3
Shuffle A Dream,Little Dragon,1
Tyler,UB40,0
Double Barrel,Dave Collins,6
Loretta,Amos Lee,8
Roforofo Fight,Eskorzo Afrobeat Experience,10
I Won't Slip Up,The Delines,5
"Keep On The Sunny Side - From “O Brother, Where Art Thou” Soundtrack",The Whites,2
You're the Kind of Girl,Lee Fields & The Expressions,1
The Bend,The Black Seeds,1
Tainted Love,Martha Reeves,1
If I Ever Feel Better,Phoenix,6
All Caught Up,Elli Ingram,3
M.A.R.I.T.,Scram C Baby,9
Swing Bob - Acid Pauli's Kosmik Remix,Der Dritte Raum,0
Ready For The Floor,Lissy Trullie,8
Yiri Yiri Boum,Gnonnas Pédro,1
At The Top Of This Hill,Message To Bears,5
634-5789,Ry Cooder,6
"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",Johnny Cash,9
Shine,Aswad,1
MAN O TO - mixed,Nu,0
How Bizarre,OMC,1
Rollin' Stone,Johnny Jenkins,5
Nitrous - Single Version,Nick Mulvey,4
Papaoutai,Stromae,4
Willie And The Hand Jive,Eric Clapton,3
Roady (The Nextmen Burger Edit),Fat Freddy's Drop,8
Never goes away,The Super Orchestra,4
I Got the Cross the River Jordan,Blind Willie McTell,5
Island,The Whitest Boy Alive,0
"Monday, Monday",The Mamas & The Papas,4
On Board,Friendly Fires,1
The Yellow River,The Treble Spankers,8
M'Lady,Sly & The Family Stone,9
Looks Good With Trouble,Solange,3
Secret Theatre,Blair Dunlop,5
Dreamworld,Don Downing,1
Ayo,Bibi Tanga,1
Me And Baby Brother,War,6
Sauna,Bruno Nicolai,7
I Scare Myself - 2009 Remastered Version,Thomas Dolby,5
Reggae Got Soul,Toots & The Maytals,8
This World,Selah Sue,4
Roll With This,Splendid,1
Fall In Love Again,Ms. Dynamite,3
Hallelujah,The Dublicators,2
Olufela (Adam Freeland Remix),Kayode Olajide,10
Hustle,Slum Village,3
Lose My Head,Body Language,1
Spirit In The Sky,Norman Greenbaum,4
Loaded - Edit,Primal Scream,10
Three Little Birds,Bob Marley & The Wailers,6
Take Me Away,Wild Belle,1
Let Go,Little Dragon,8
The Wild Life,Vacationer,1
Sulk,TR/ST,0
Once More with Feeling,Get Cape. Wear Cape. Fly,5
All Of Me,Tanlines,1
Why Am I A Rastaman,Culture,1
Man I Need Dub,Jagwar Ma,4
Fazon,Jonathan Wilson,8
Sound and Vision,David Bowie,5
Sang Fézi (feat. Ms. Lauryn Hill),Wyclef Jean,3
That's Classic,Rizzle Kicks,9
Maybe,Todd Hannigan,5
Smoul In Mali,Wooden Constructions,8
Uptown Top Ranking,Althea And Donna,6
One (Blake's Got A New Face),Vampire Weekend,6
Earth Blues,Jimi Hendrix,2
Anji,Chicken Shack,2
Baby's Got Sauce,G. Love & Special Sauce,6
Aerosol Can (feat. Pharrell Williams),Major Lazer,1
Pick Up The Pieces,Average White Band,10
Road to Nowhere - 2005 Remaster,Talking Heads,1
Why Can't We Be Friends,War,9
What'cha Know About,Donavon Frankenreiter,1
White Knuckles,OK Go,1
Paradise Circus,Massive Attack,10
Dark Sienna,Session Victim,7
Backstrokin',Fatback Band,6
Sutphin Boulevard,Blood Orange,6
What Colour Are You?,Danny Michel,2
Ice Age,Fishlights,4
When mi rise it,Lutan Fyah,1
She Needs Me,Craig Carothers,5
A Simple Beautiful Truth,Wild Beasts,2
Closer,Corinne Bailey Rae,2
Pum-Pum,"Lee ""Scratch"" Perry",1
Use Me - Single Version,Bill Withers,6
The Joker,Fatboy Slim,1
Presence of Mind,The Fresh & Onlys,9
Every Body,Thao & The Get Down Stay Down,1
Roll Away Your Stone,Mumford & Sons,4
Alone,L'Orange,9
Dickhead,Kate Nash,7
On & on & On,Sunny Levine,5
Two Times,AM & Shawn Lee,8
Heartbeat,Splendid,8
Life Is A Carnival - Remastered,The Band,1
Running Out,Scissor Sisters,1
When The Night (feat. Jaw),Para One feat. Jaw,3
Strange Fruit,UB40,6
Invasion,Los Plastics Revolution,4
Suffer Like Me,AM & Shawn Lee,1
Under the Milky Way,The Church,4
Hungry Heart,Pajaro Sunrise,9
Houses Falling,October Dance,8
The Pusher,Steppenwolf,9
Only You,Ayọ,2
Hunger at the Door,Balthazar,7
House of Stone,Watchhouse,5
Rybka,Liz Green,3
Fake Plastic Trees - Acoustic,Radiohead,9
Caravan - 2013 Remaster,Van Morrison,4
Glowing,Janne Schra,2
Under the Boardwalk,The Drifters,2
Little Bit of Love,John Cruz,7
Don’t Judge,LV,6
"I Love You, Ono",Stereo Total,1
J'ai claqué la porte,Chromeo,6
"Move That Dope (feat. Pharrell, Pusha T & Casino)",Future,4
Son of a Preacher Man,Pickin' On Series,2
Angeles,Elliott Smith,5
Gonna Get There,Tim Knol,1
Fatty Fatty,The Upsessions,1
To The Establishment,Lou Bond,0
Stop With The Chatter,Rizzle Kicks,1
Started From the Bottom,Drake,6
Won't Let Me Go,Amos Lee,9
Imuhar,Bombino,1
Belle,Moriarty,5
Do You Leave the Light On?,Tim Knol,4
Sway,Robin Block,4
Us,MOVEMENT,8
"The Blues: Hey, Hey",Big Bill Broonzy,2
Albatross,Fleetwood Mac,5
No Depression,MY BABY,8
Cool Breeze,Big Youth,3
Mingi,Mim Suleiman,6
I was Made For Lovin' You,Queen of Japan,10
Hard Time,Seinabo Sey,8
Horchata,Vampire Weekend,1
Pata Pata,Miriam Makeba,1
Arrows Of Eros,Golden Silvers,1
Five Feet Seven,Big Bill Broonzy,2
Formidable,Stromae,8
I Have Stopped Thinking About You,Tango Alpha Tango,5
Blind,yU,9
Friday Night (Hundred Dollar Bill),G. Love & Special Sauce,6
I Love Ya,No Ninja Am I,5
Sweet Symphony (Balearic Bliss Mix),Zatharanga Experience,10
Strawberry Letter 23,Shuggie Otis,8
Taking Chances,Sharon Van Etten,8
Sexy Dancer,Kiki Gyan,0
I'll Make Love To You Anytime,Eric Clapton,10
I Shall Be Released,The Slackers,6
Teardrop,Newton Faulkner,5
Upside Down,Lisa Hannigan,2
Grade 8,Ed Sheeran,1
Million,Allen Stone,7
The Love Club,Lorde,6
Viva la vida,Elliot Goldenthal,7
Mango Meat,Mandrill,1
Lovin,Millionyoung,10
What's Wrong With Groovin',Letta Mbulu,4
Bulgarian Chicks,Balkan Beat Box,10
Loco De Amor,David Byrne,9
Hitsville U.K.,The Clash,1
Ledi Ndieme M'bodj,Orchestra Baobab,0
Do I Wanna Know?,Arctic Monkeys,4
Lisztomania,Phoenix,9
The Sun Ain't Shining No More,The Asteroids Galaxy Tour,1
My Heart Is Jumping,Bibi Tanga & The Selenites,6
Had It All,Allah-Las,9
Mieux Nous Aimer Encore,Saule,10
Sand And Foam,Donovan,5
It's All over Now,Ry Cooder,6
Fencewalk,Mandrill,1
Hotel Axos,Parov Stelar,10
Wander Through the Time of Hearts,Lovers,9
Make Me,Gin Ga,1
Don't Know Who We Are,The Donkeys,10
Chambacu,Schlachthofbronx,3
"John, She Was Never Only Dancing",Fergus Brown,8
Loco,Fun Lovin' Criminals,1
Je Bent Meer,I am Aisha,1
Let's Make It Work,Retro Culture,10
Bodies,Mazes,10
Cara valente,Maria Rita,2
No Fear Of Falling,I Am Kloot,5
(I'm A) Road Runner,Jr. Walker & The All Stars,1
Satisfied 'N' Tickled Too,Taj Mahal,2
Jungle Lion,The Upsetters,10
Lost,Jonathan Jeremiah,8
Where I'm Going,Cut Copy,10
"Usti, Usti Baba - Senor Coconut Remix",Señor Coconut,1
Home,Villeneuf,6
Airfield,Javelin,1
Hey Joe,Charlotte Gainsbourg,10
Fate - WSM Compilation Edit,Chaka Khan,1
Pretty Fly (For a White Guy),The Offspring,1
Lorelei,Them Vibes,1
Eu Vivo a Sorrir,Adriana Calcanhotto,2
Why Go To War? - Cover,William Onyeabor,9
Workin' Woman Blues,Valerie June,4
Humming One Of Your Songs,Ane Brun,7
Hey,We Are KING,4
Come Running,Van Morrison,6
Good Things,Spengler,3
I Used to Love H.E.R.,Common,3
Monoshow,FS Green,10
El Cartero,Gaby Moreno Y Su Orquesta,9
Hit Me Up,Sean Bones,1
Rock Me Baby - 2006 Remastered,Lou Johnson,1
All This Love That I'm Givin',Gwen McCrae,9
Even After All,Finley Quaye,5
Kids,MGMT,4
My Collie (Not A Dog),The Selecter,6
Funkify Your Life,The Meters,8
Happy (Make You Happy) - Go Home Productions Remix,Max Sedgley,10
Upside Down,Joe Higgs,6
Papa Was A Rolling Stone,The Pioneers,6
What I Might Do - Radio Edit,Ben Pearce,10
Guiltiness,Bob Marley & The Wailers,3
Streets Of Freedom,The Gladiators,3
One Step At A Time (JStar Remix),The Black Seeds,6
Days,Tim Knol,2
I'd Rather Go Blind - Single Version,Etta James,7
A Poem on the Underground Wall - Live,Simon & Garfunkel,9
Yes No Maybe,Dazzled Kid,1
Can't Find My Way Home,Electronic,8
Caution,The Wailers,6
I Know You Got Soul,Bobby Byrd,6
Down The Road,C2C,4
Raggamuffin,Selah Sue,8
You're Gonna Miss Me,Muddy Waters,2
The Years,Jack and the Weatherman,2
Samba meu,Maria Rita,5
Lines,The Hics,4
"Olê, Olá",Chico Buarque,5
Love'll Set Me Free,Michael Franti,8
United Provinces Of India,Cornershop,1
A Banda,Nara Leão,2
Seasons (Waiting On You),Future Islands,10
All My Trials,Anita Carter,5
You Can't Be Told,Valerie June,1
Woman I Love,J.J. Cale,10
Lusaka by Night,John Wizards,8
All Things All At Once,Tired Pony,8
Ela Desatinou,Chico Buarque,4
My Beloved Africa,Meta And The Cornerstones,3
Come Around,M.I.A.,9
Keep the Fire Burning,Gwen McCrae,6
Goin' to the Party,Alabama Shakes,7
Low Key,The Opposites,8
The Woman That Got Away,J.J. Cale,10
Hush - Remastered,Joe South,4
First Day Of My Life,Bright Eyes,5
DDD [Dirty Disco Dub],The Orb,9
Last Home - Original,Typesun,10
A View To A Kill (performed by Skye),"Hollywood, Mon Amour",4
Ghost Walk,The Budos Band,10
Scream (Funk My Life Up),Paolo Nutini,8
Always Like This,Bombay Bicycle Club,1
Hold Fast,Zachary Cale,4
Down By The Water,The Drums,4
Drowning,BANKS,8
Oh Honey,Delegation,0
Maybe I Know,Alessi's Ark,2
Sunny,Bobby Hebb,2
Prettiest Tree on the Mountain,Ben Sollee,2
